iteration,fitness,time
0,0.75,0.29
0,0.75,0.21
1,0.75,0.21
2,0.75,0.21
3,0.75,0.21
4,0.7916666269302368,0.21
5,0.7916666269302368,0.21
6,0.7916666269302368,0.21
7,0.7916666269302368,0.21
8,0.7916666269302368,0.21
9,0.7916666269302368,0.21
10,0.7916666269302368,0.21
11,0.7916666269302368,0.21
12,0.7916666269302368,0.21
13,0.7916666269302368,0.21
14,0.7916666269302368,0.21
15,0.7916666269302368,0.21
16,0.7916666269302368,0.21
17,0.7916666269302368,0.21
18,0.7916666269302368,0.21
19,0.7916666269302368,0.21
20,0.8333333134651184,0.21
21,0.8333333134651184,0.21
22,0.8333333134651184,0.21
23,0.8333333134651184,0.21
24,0.8333333134651184,0.21
25,0.8333333134651184,0.21
26,0.8333333134651184,0.21
27,0.8333333134651184,0.21
28,0.8333333134651184,0.21
29,0.8333333134651184,0.21
30,0.8333333134651184,0.21
31,0.8333333134651184,0.21
32,0.8541666269302368,0.21
33,0.8541666269302368,0.21
34,0.8541666269302368,0.21
35,0.8541666269302368,0.21
36,0.8541666269302368,0.21
37,0.8541666269302368,0.21
38,0.8541666269302368,0.21
39,0.8541666269302368,0.21
40,0.8541666269302368,0.21
41,0.8541666269302368,0.21
42,0.8541666269302368,0.21
43,0.8541666269302368,0.21
44,0.8541666269302368,0.21
45,0.8541666269302368,0.21
46,0.8541666269302368,0.21
47,0.8541666269302368,0.21
48,0.875,0.21
49,0.875,0.21
50,0.875,0.21
51,0.875,0.21
52,0.875,0.21
53,0.875,0.21
54,0.875,0.21
55,0.875,0.21
56,0.875,0.21
57,0.875,0.21
58,0.875,0.21
59,0.875,0.21
60,0.875,0.21
61,0.875,0.21
62,0.875,0.21
63,0.875,0.21
64,0.875,0.21
65,0.875,0.21
66,0.875,0.21
67,0.875,0.21
68,0.875,0.21
69,0.875,0.21
70,0.875,0.21
71,0.875,0.21
72,0.875,0.21
73,0.875,0.21
74,0.875,0.21
75,0.875,0.21
76,0.875,0.21
77,0.875,0.21
78,0.875,0.21
79,0.875,0.21
80,0.875,0.21
81,0.875,0.21
82,0.875,0.21
83,0.875,0.21
84,0.875,0.21
85,0.875,0.21
86,0.875,0.21
87,0.875,0.21
88,0.875,0.21
89,0.875,0.21
90,0.875,0.21
91,0.875,0.21
92,0.875,0.21
93,0.875,0.21
