evaluation,fitness,test_accuracy,uniqueness,time
0,-0.9793938398361206,-0.6185027360916138,1.0,1.19
100,-0.9793938398361206,-0.6185027360916138,1.0,1.19
200,-0.9793938398361206,-0.6185027360916138,1.0,1.19
300,-0.9793938398361206,-0.6185027360916138,1.0,1.19
400,-0.9793938398361206,-0.6185027360916138,1.0,1.19
500,-0.9793938398361206,-0.6185027360916138,1.0,1.19
600,-0.9793938398361206,-0.6185027360916138,1.0,1.19
700,-0.9793938398361206,-0.6185027360916138,1.0,1.19
800,-0.9793938398361206,-0.6185027360916138,1.0,1.19
900,-0.9793938398361206,-0.6185027360916138,1.0,1.19
1000,-0.9793938398361206,-0.6185027360916138,1.0,1.19
1100,-0.9793938398361206,-0.6185027360916138,1.0,1.19
1200,-0.9793938398361206,-0.6185027360916138,1.0,1.19
1300,-0.9793938398361206,-0.6185027360916138,1.0,1.19
1400,-0.9793938398361206,-0.6185027360916138,1.0,1.19
1500,-0.9793938398361206,-0.6185027360916138,1.0,1.19
1600,-0.9793938398361206,-0.6185027360916138,1.0,1.19
1700,-0.9793938398361206,-0.6185027360916138,1.0,1.19
1800,-0.9793938398361206,-0.6185027360916138,1.0,1.19
1900,-0.9793938398361206,-0.6185027360916138,1.0,1.19
2000,-0.9793938398361206,-0.6185027360916138,1.0,1.19
2100,-0.9793938398361206,-0.6185027360916138,1.0,1.19
2200,-0.9793938398361206,-0.6185027360916138,1.0,1.19
2300,-0.9793938398361206,-0.6185027360916138,1.0,1.19
2400,-0.9793938398361206,-0.6185027360916138,1.0,1.19
2500,-0.9793938398361206,-0.6185027360916138,1.0,1.19
2600,-0.9793938398361206,-0.6185027360916138,1.0,1.19
2700,-0.9793938398361206,-0.6185027360916138,1.0,1.19
2800,-0.9793938398361206,-0.6185027360916138,1.0,1.19
2900,-0.9793938398361206,-0.6185027360916138,1.0,1.19
3000,-0.9793938398361206,-0.6185027360916138,1.0,1.19
3100,-0.9793938398361206,-0.6185027360916138,1.0,1.19
3200,-0.9793938398361206,-0.6185027360916138,1.0,1.19
3300,-0.9793938398361206,-0.6185027360916138,1.0,1.19
3400,-0.9793938398361206,-0.6185027360916138,1.0,1.19
3500,-0.9793938398361206,-0.6185027360916138,1.0,1.19
3600,-0.9793938398361206,-0.6185027360916138,1.0,1.19
3700,-0.9793938398361206,-0.6185027360916138,1.0,1.19
3800,-0.9793938398361206,-0.6185027360916138,1.0,1.19
3900,-0.030515670776367188,-0.1472163200378418,1.0,1.19
4000,-0.030515670776367188,-0.1472163200378418,1.0,1.19
4100,-0.030515670776367188,-0.1472163200378418,1.0,1.19
4200,-0.030515670776367188,-0.1472163200378418,1.0,1.19
4300,-0.030515670776367188,-0.1472163200378418,1.0,1.19
4400,-0.030515670776367188,-0.1472163200378418,1.0,1.19
4500,-0.030515670776367188,-0.1472163200378418,1.0,1.19
4600,-0.030515670776367188,-0.1472163200378418,1.0,1.19
4700,-0.030515670776367188,-0.1472163200378418,1.0,1.19
4800,-0.030515670776367188,-0.1472163200378418,1.0,1.19
4900,-0.030515670776367188,-0.1472163200378418,1.0,1.19
5000,-0.030515670776367188,-0.1472163200378418,1.0,1.19
5100,-0.030515670776367188,-0.1472163200378418,1.0,1.19
5200,-0.030515670776367188,-0.1472163200378418,1.0,1.19
5300,-0.030515670776367188,-0.1472163200378418,1.0,1.19
5400,-0.030515670776367188,-0.1472163200378418,1.0,1.19
5500,-0.030515670776367188,-0.1472163200378418,1.0,1.19
5600,-0.030515670776367188,-0.1472163200378418,1.0,1.19
5700,-0.030515670776367188,-0.1472163200378418,1.0,1.19
5800,-0.030515670776367188,-0.1472163200378418,1.0,1.19
5900,-0.030515670776367188,-0.1472163200378418,1.0,1.19
6000,-0.030515670776367188,-0.1472163200378418,1.0,1.19
6100,-0.030515670776367188,-0.1472163200378418,1.0,1.19
6200,-0.030515670776367188,-0.1472163200378418,1.0,1.19
6300,-0.030515670776367188,-0.1472163200378418,1.0,1.19
6400,-0.010487079620361328,-0.10212647914886475,1.0,1.19
6500,-0.010487079620361328,-0.10212647914886475,1.0,1.19
6600,-0.010487079620361328,-0.10212647914886475,1.0,1.19
6700,-0.010487079620361328,-0.10212647914886475,1.0,1.19
6800,-0.010487079620361328,-0.10212647914886475,1.0,1.19
6900,-0.010487079620361328,-0.10212647914886475,1.0,1.19
7000,-0.010487079620361328,-0.10212647914886475,1.0,1.19
7100,-0.010487079620361328,-0.10212647914886475,1.0,1.19
7200,-0.010487079620361328,-0.10212647914886475,1.0,1.19
7300,-0.010487079620361328,-0.10212647914886475,1.0,1.19
7400,-0.010487079620361328,-0.10212647914886475,1.0,1.19
7500,-0.010487079620361328,-0.10212647914886475,1.0,1.19
7600,-0.010487079620361328,-0.10212647914886475,1.0,1.19
7700,-0.010487079620361328,-0.10212647914886475,1.0,1.19
7800,-0.010487079620361328,-0.10212647914886475,1.0,1.19
7900,-0.010487079620361328,-0.10212647914886475,1.0,1.19
8000,-0.010487079620361328,-0.10212647914886475,1.0,1.19
8100,-0.010487079620361328,-0.10212647914886475,1.0,1.19
8200,-0.010487079620361328,-0.10212647914886475,1.0,1.19
8300,-0.010487079620361328,-0.10212647914886475,1.0,1.19
8400,-0.010487079620361328,-0.10212647914886475,1.0,1.19
8500,-0.010487079620361328,-0.10212647914886475,1.0,1.19
8600,-0.010487079620361328,-0.10212647914886475,1.0,1.19
8700,-0.010487079620361328,-0.10212647914886475,1.0,1.19
8800,-0.010487079620361328,-0.10212647914886475,1.0,1.19
8900,-0.010487079620361328,-0.10212647914886475,1.0,1.19
9000,-0.010487079620361328,-0.10212647914886475,1.0,1.19
9100,-0.010487079620361328,-0.10212647914886475,1.0,1.19
9200,-0.010487079620361328,-0.10212647914886475,1.0,1.19
9300,-0.010487079620361328,-0.10212647914886475,1.0,1.19
9400,-0.010487079620361328,-0.10212647914886475,1.0,1.19
9500,-0.010487079620361328,-0.10212647914886475,1.0,1.19
9600,-0.010487079620361328,-0.10212647914886475,1.0,1.19
9700,-0.010487079620361328,-0.10212647914886475,1.0,1.19
9800,-0.010487079620361328,-0.10212647914886475,1.0,1.19
9900,-0.010487079620361328,-0.10212647914886475,1.0,1.19
10000,-0.010487079620361328,-0.10212647914886475,1.0,1.19
10100,-0.010487079620361328,-0.10212647914886475,1.0,1.19
10200,-0.010487079620361328,-0.10212647914886475,1.0,1.19
10300,-0.010487079620361328,-0.10212647914886475,1.0,1.19
10400,-0.010487079620361328,-0.10212647914886475,1.0,1.19
10500,-0.010487079620361328,-0.10212647914886475,1.0,1.19
10600,-0.010487079620361328,-0.10212647914886475,1.0,1.19
10700,-0.010487079620361328,-0.10212647914886475,1.0,1.19
10800,-0.010487079620361328,-0.10212647914886475,1.0,1.19
10900,-0.010487079620361328,-0.10212647914886475,1.0,1.19
11000,-0.010487079620361328,-0.10212647914886475,1.0,1.19
11100,-0.010487079620361328,-0.10212647914886475,1.0,1.19
11200,-0.010487079620361328,-0.10212647914886475,1.0,1.19
11300,-0.010487079620361328,-0.10212647914886475,1.0,1.19
11400,-0.010487079620361328,-0.10212647914886475,1.0,1.19
11500,-0.010487079620361328,-0.10212647914886475,1.0,1.19
11600,-0.010487079620361328,-0.10212647914886475,1.0,1.19
11700,-0.010487079620361328,-0.10212647914886475,1.0,1.19
11800,-0.010487079620361328,-0.10212647914886475,1.0,1.19
11900,-0.010487079620361328,-0.10212647914886475,1.0,1.19
12000,-0.010487079620361328,-0.10212647914886475,1.0,1.19
12100,-0.010487079620361328,-0.10212647914886475,1.0,1.19
12200,-0.010487079620361328,-0.10212647914886475,1.0,1.19
12300,-0.010487079620361328,-0.10212647914886475,1.0,1.19
12400,-0.010487079620361328,-0.10212647914886475,1.0,1.19
12500,-0.010487079620361328,-0.10212647914886475,1.0,1.19
12600,-0.010487079620361328,-0.10212647914886475,1.0,1.19
12700,-0.010487079620361328,-0.10212647914886475,1.0,1.19
12800,-0.010487079620361328,-0.10212647914886475,1.0,1.19
12900,-0.010487079620361328,-0.10212647914886475,1.0,1.19
13000,-0.010487079620361328,-0.10212647914886475,1.0,1.19
13100,-0.010487079620361328,-0.10212647914886475,1.0,1.19
13200,-0.010487079620361328,-0.10212647914886475,1.0,1.19
13300,-0.010487079620361328,-0.10212647914886475,1.0,1.19
13400,-0.010487079620361328,-0.10212647914886475,1.0,1.19
13500,-0.010487079620361328,-0.10212647914886475,1.0,1.19
13600,-0.010487079620361328,-0.10212647914886475,1.0,1.19
13700,-0.010487079620361328,-0.10212647914886475,1.0,1.19
13800,-0.010487079620361328,-0.10212647914886475,1.0,1.19
13900,-0.010487079620361328,-0.10212647914886475,1.0,1.19
14000,-0.010487079620361328,-0.10212647914886475,1.0,1.19
14100,-0.010487079620361328,-0.10212647914886475,1.0,1.19
14200,-0.010487079620361328,-0.10212647914886475,1.0,1.19
14300,-0.010487079620361328,-0.10212647914886475,1.0,1.19
14400,-0.010487079620361328,-0.10212647914886475,1.0,1.19
14500,0.4829661250114441,0.49925434589385986,1.0,1.19
14600,0.4829661250114441,0.49925434589385986,1.0,1.19
14700,0.4829661250114441,0.49925434589385986,1.0,1.19
14800,0.4829661250114441,0.49925434589385986,1.0,1.19
14900,0.4829661250114441,0.49925434589385986,1.0,1.19
15000,0.4829661250114441,0.49925434589385986,1.0,1.19
15100,0.4829661250114441,-15.786176681518555,1.0,0.93
15200,0.4829661250114441,-15.786176681518555,1.0,0.93
15300,0.4829661250114441,-15.786176681518555,1.0,0.93
15400,0.4829661250114441,-15.786176681518555,1.0,0.93
15500,0.4829661250114441,-15.786176681518555,1.0,0.93
15600,0.4829661250114441,-15.786176681518555,1.0,0.93
15700,0.4829661250114441,-15.786176681518555,1.0,0.93
15800,0.4829661250114441,-15.786176681518555,1.0,0.93
15900,0.4829661250114441,-15.786176681518555,1.0,0.93
16000,0.4829661250114441,-15.786176681518555,1.0,0.93
16100,0.4829661250114441,-15.786176681518555,1.0,0.93
16200,0.4829661250114441,-15.786176681518555,1.0,0.93
16300,0.4829661250114441,-15.786176681518555,1.0,0.93
16400,0.4829661250114441,-15.786176681518555,1.0,0.93
16500,0.4829661250114441,-15.786176681518555,1.0,0.93
16600,0.4829661250114441,-15.786176681518555,1.0,0.93
16700,0.4829661250114441,-15.786176681518555,1.0,0.93
16800,0.4829661250114441,-15.786176681518555,1.0,0.93
16900,0.4829661250114441,-15.786176681518555,1.0,0.93
17000,0.4829661250114441,-15.786176681518555,1.0,0.93
17100,0.4829661250114441,-15.786176681518555,1.0,0.93
17200,0.4829661250114441,-15.786176681518555,1.0,0.93
17300,0.4829661250114441,-15.786176681518555,1.0,0.93
17400,0.4829661250114441,-15.786176681518555,1.0,0.93
17500,0.4829661250114441,-15.786176681518555,1.0,0.93
17600,0.4829661250114441,-15.786176681518555,1.0,0.93
17700,0.4829661250114441,-15.786176681518555,1.0,0.93
17800,0.4829661250114441,-15.786176681518555,1.0,0.93
17900,0.4829661250114441,-15.786176681518555,1.0,0.93
18000,0.4829661250114441,-15.786176681518555,1.0,0.93
18100,0.4829661250114441,-15.786176681518555,1.0,0.93
18200,0.4829661250114441,-15.786176681518555,1.0,0.93
18300,0.4829661250114441,-15.786176681518555,1.0,0.93
18400,0.4829661250114441,-15.786176681518555,1.0,0.93
18500,0.4829661250114441,-15.786176681518555,1.0,0.93
18600,0.4829661250114441,-15.786176681518555,1.0,0.93
18700,0.4829661250114441,-15.786176681518555,1.0,0.93
18800,0.4829661250114441,-15.786176681518555,1.0,0.93
18900,0.4829661250114441,-15.786176681518555,1.0,0.93
19000,0.4829661250114441,-15.786176681518555,1.0,0.93
19100,0.4829661250114441,-15.786176681518555,1.0,0.93
19200,0.4829661250114441,-15.786176681518555,1.0,0.93
19300,0.4829661250114441,-15.786176681518555,1.0,0.93
19400,0.4829661250114441,-15.786176681518555,1.0,0.93
19500,0.4829661250114441,-15.786176681518555,1.0,0.93
19600,0.4829661250114441,-15.786176681518555,1.0,0.93
19700,0.4829661250114441,-15.786176681518555,1.0,0.93
19800,0.4829661250114441,-15.786176681518555,1.0,0.93
19900,0.4829661250114441,-15.786176681518555,1.0,0.93
20000,0.4829661250114441,-15.786176681518555,1.0,0.93
20100,0.4829661250114441,-15.786176681518555,1.0,0.93
20200,0.4829661250114441,-15.786176681518555,1.0,0.93
20300,0.4829661250114441,-15.786176681518555,1.0,0.93
20400,0.4829661250114441,-15.786176681518555,1.0,0.93
20500,0.4829661250114441,-15.786176681518555,1.0,0.93
20600,0.4829661250114441,-15.786176681518555,1.0,0.93
20700,0.4829661250114441,-15.786176681518555,1.0,0.93
20800,0.4829661250114441,-15.786176681518555,1.0,0.93
20900,0.4829661250114441,-15.786176681518555,1.0,0.93
21000,0.4829661250114441,-15.786176681518555,1.0,0.93
21100,0.4829661250114441,-15.786176681518555,1.0,0.93
21200,0.4829661250114441,-15.786176681518555,1.0,0.93
21300,0.4829661250114441,-15.786176681518555,1.0,0.93
21400,0.4829661250114441,-15.786176681518555,1.0,0.93
21500,0.4829661250114441,-15.786176681518555,1.0,0.93
21600,0.4829661250114441,-15.786176681518555,1.0,0.93
21700,0.4829661250114441,-15.786176681518555,1.0,0.93
21800,0.4829661250114441,-15.786176681518555,1.0,0.93
21900,0.4829661250114441,-15.786176681518555,1.0,0.93
22000,0.4829661250114441,-15.786176681518555,1.0,0.93
22100,0.4829661250114441,-15.786176681518555,1.0,0.93
22200,0.4829661250114441,-15.786176681518555,1.0,0.93
22300,0.4829661250114441,-15.786176681518555,1.0,0.93
22400,0.4829661250114441,-15.786176681518555,1.0,0.93
22500,0.4829661250114441,-15.786176681518555,1.0,0.93
22600,0.4829661250114441,-15.786176681518555,1.0,0.93
22700,0.4829661250114441,-15.786176681518555,1.0,0.93
22800,0.4829661250114441,-15.786176681518555,1.0,0.93
22900,0.4829661250114441,-15.786176681518555,1.0,0.93
23000,0.4829661250114441,-15.786176681518555,1.0,0.93
23100,0.4829661250114441,-15.786176681518555,1.0,0.93
23200,0.4829661250114441,-15.786176681518555,1.0,0.93
23300,0.4829661250114441,-15.786176681518555,1.0,0.93
23400,0.4829661250114441,-15.786176681518555,1.0,0.93
23500,0.4829661250114441,-15.786176681518555,1.0,0.93
