iteration,fitness,time
0,0.8125,0.25
1,0.8125,0.14
2,0.84375,0.14
3,0.84375,0.14
4,0.84375,0.14
5,0.875,0.14
6,0.875,0.14
7,0.875,0.14
8,0.875,0.14
9,0.875,0.14
10,0.875,0.14
11,0.875,0.14
12,0.875,0.14
13,0.875,0.18
14,0.875,0.15
15,0.875,0.17
16,0.875,0.14
17,0.875,0.14
18,0.875,0.18
19,0.875,0.20
20,0.875,0.14
21,0.875,0.14
22,0.875,0.14
23,0.875,0.14
24,0.875,0.18
25,0.875,0.14
26,0.875,0.15
27,0.875,0.14
28,0.875,0.14
29,0.875,0.14
30,0.890625,0.14
31,0.890625,0.15
32,0.890625,0.14
33,0.890625,0.14
34,0.890625,0.17
35,0.890625,0.14
36,0.890625,0.19
37,0.890625,0.14
38,0.890625,0.14
39,0.890625,0.14
40,0.890625,0.14
41,0.890625,0.14
42,0.890625,0.14
43,0.890625,0.14
44,0.890625,0.15
45,0.890625,0.14
46,0.890625,0.14
47,0.890625,0.14
48,0.890625,0.14
49,0.90625,0.14
50,0.90625,0.14
51,0.90625,0.14
52,0.90625,0.14
53,0.90625,0.14
54,0.90625,0.14
55,0.90625,0.17
56,0.90625,0.14
57,0.90625,0.14
58,0.90625,0.14
59,0.90625,0.14
60,0.90625,0.14
61,0.90625,0.14
62,0.90625,0.17
63,0.90625,0.15
64,0.90625,0.15
65,0.90625,0.14
66,0.90625,0.14
67,0.90625,0.14
68,0.90625,0.14
69,0.90625,0.14
70,0.90625,0.14
71,0.90625,0.17
72,0.90625,0.18
73,0.90625,0.14
74,0.90625,0.14
75,0.90625,0.14
76,0.90625,0.14
77,0.90625,0.14
78,0.90625,0.14
79,0.90625,0.14
80,0.90625,0.14
81,0.90625,0.21
82,0.90625,0.14
83,0.90625,0.17
84,0.90625,0.14
85,0.90625,0.14
86,0.90625,0.14
87,0.90625,0.14
88,0.90625,0.14
89,0.90625,0.14
90,0.90625,0.14
91,0.90625,0.17
92,0.90625,0.14
93,0.90625,0.14
94,0.90625,0.14
95,0.90625,0.14
96,0.90625,0.15
97,0.90625,0.14
98,0.90625,0.14
99,0.90625,0.14
100,0.90625,0.14
101,0.90625,0.14
102,0.90625,0.14
103,0.90625,0.14
104,0.90625,0.14
105,0.90625,0.16
106,0.90625,0.14
107,0.90625,0.14
108,0.90625,0.14
109,0.90625,0.15
110,0.90625,0.14
111,0.90625,0.17
112,0.90625,0.14
113,0.90625,0.14
114,0.90625,0.14
115,0.90625,0.14
116,0.90625,0.16
117,0.90625,0.14
118,0.90625,0.14
119,0.90625,0.14
120,0.90625,0.21
121,0.90625,0.14
122,0.90625,0.15
123,0.90625,0.14
124,0.90625,0.14
125,0.90625,0.18
126,0.90625,0.14
127,0.90625,0.14
128,0.90625,0.14
129,0.90625,0.14
130,0.90625,0.14
131,0.90625,0.14
132,0.90625,0.14
133,0.90625,0.14
134,0.90625,0.14
135,0.90625,0.14
136,0.90625,0.16
137,0.90625,0.16
138,0.90625,0.14
139,0.90625,0.14
140,0.90625,0.14
141,0.90625,0.14
142,0.90625,0.14
143,0.90625,0.14
144,0.90625,0.14
145,0.90625,0.14
146,0.90625,0.14
147,0.90625,0.18
148,0.90625,0.15
149,0.90625,0.18
150,0.90625,0.14
151,0.90625,0.14
152,0.90625,0.14
153,0.90625,0.14
154,0.90625,0.14
155,0.90625,0.14
156,0.90625,0.14
157,0.90625,0.14
158,0.90625,0.14
159,0.90625,0.14
160,0.90625,0.21
161,0.90625,0.15
162,0.90625,0.15
