eval/episode_reward_ctrl,eval/walltime,eval/epoch_eval_time,eval/avg_episode_length,_timestamp,training/actor_loss,eval/episode_reward,training/critic_loss,training/alpha_loss,training/walltime,eval/sps,eval/episode_reward_dist,training/alpha,training/buffer_current_size,training/sps,_runtime,_step,seed,rl_algorithm,environment
-437.21185302734375,8.829856634140015,8.829856634140015,1000,1694040227.7616642,,-612.9259033203125,,,,14496.27160480693,-175.71408081054688,,,,14.301644086837769,0.0,2,sac,reacher
-57.47985458374024,9.575618267059326,0.7457616329193115,1000,1694040305.8275874,232.9951171875,-134.83433532714844,2.0672683715820312,0.0349419005215168,77.31709098815918,171636.61195459904,-77.35448455810547,0.2452836632728576,215040.015625,5780.671414677957,92.36756730079652,421760.0,2,sac,reacher
-68.19122314453125,10.302497625350952,0.726879358291626,1000,1694040368.483651,405.9532775878906,-124.17748260498048,4.827490329742432,-4.060841092723422e-05,139.24198603630066,176095.24681074524,-55.98626327514648,0.2358750849962234,628608.0,6678.541799360098,155.02363085746765,835328.0,2,sac,reacher
-60.85912322998047,11.001112937927246,0.698615312576294,1000,1694040430.914759,416.7009887695313,-103.19439697265624,4.451333999633789,2.6055633497890085e-05,200.9705936908722,183219.57405710523,-42.33526992797852,0.244066908955574,993630.5625,6699.778525935563,217.45473885536197,1248896.0,2,sac,reacher
-58.39898681640625,11.743568420410156,0.7424554824829102,1000,1694040490.7148037,337.47967529296875,-108.04256439208984,2.807539701461792,-1.3803576621285174e-05,260.0244770050049,172400.90890290693,-49.64356994628906,0.2494118064641952,1048576.0,7003.231232060662,277.2547836303711,1662464.0,2,sac,reacher
-59.31915283203125,12.468254089355469,0.7246856689453125,1000,1694040550.0242538,335.53143310546875,-94.22935485839844,2.7040510177612305,-1.5816445966265746e-06,318.6055810451508,176628.3031183543,-34.91020965576172,0.2536680400371551,1048576.0,7059.750866364351,336.5642337799072,2076032.0,2,sac,reacher
-66.35989379882812,13.21384310722351,0.745589017868042,1000,1694040609.2310884,333.8514404296875,-100.84780883789062,2.6279959678649902,-4.0189148421632126e-05,377.0631854534149,171676.34840707117,-34.4879035949707,0.2605012953281402,1048576.0,7074.665549269991,395.77106833457947,2489600.0,2,sac,reacher
-82.68196105957031,13.945506572723389,0.7316634654998779,1000,1694040668.2429757,325.40692138671875,-119.18712615966795,2.873080253601074,1.8709301002672877e-05,435.3397169113159,174943.8178009195,-36.50517272949219,0.2692179679870605,1048576.0,7096.647478046317,454.7829554080963,2903168.0,2,sac,reacher
-296.4610900878906,14.671062707901,0.7255561351776123,1000,1694040727.3541553,321.0580139160156,-416.3932189941406,45.380218505859375,-0.0006463349564,493.7217619419098,176416.3981173783,-119.93209838867188,0.2929156720638275,1048576.0,7083.821743196533,513.8941352367401,3316736.0,2,sac,reacher
-139.40032958984375,15.447269439697266,0.7762067317962646,1000,1694040786.6598368,557.1527099609375,-197.95936584472656,140.38833618164062,3.660623769974336e-05,552.247391462326,164904.52189687642,-58.55906677246094,0.6840863227844238,1048576.0,7066.442572065452,573.1998167037964,3730304.0,2,sac,reacher
-129.27041625976562,16.188305616378784,0.7410361766815186,1000,1694040846.1730795,678.7693481445312,-186.7345428466797,88.72808074951172,0.0003598310868255,611.0156626701355,172731.1081804467,-57.464141845703125,0.5075889825820923,1048576.0,7037.266734248307,632.7130596637726,4143872.0,2,sac,reacher
-134.94012451171875,16.89090347290039,0.7025978565216064,1000,1694040906.5396268,661.26904296875,-187.78428649902344,43.31147766113281,0.0008406637352891,670.6757981777191,182181.028324933,-52.84416198730469,0.3387499451637268,1048576.0,6932.066051835062,693.0796067714691,4557440.0,2,sac,reacher
-100.53190612792967,17.608908653259277,0.7180051803588867,1000,1694040967.913613,493.92236328125,-163.24661254882812,7.84986400604248,-2.273052086820826e-05,731.3276405334473,178271.6942738779,-62.7147216796875,0.2189358472824096,1048576.0,6818.721145754962,754.4535930156708,4971008.0,2,sac,reacher
-76.74439239501953,18.338855504989624,0.7299468517303467,1000,1694041030.997487,423.8884582519531,-126.15892791748048,7.433210849761963,-2.4694403691682965e-05,793.6774396896362,175355.23263998557,-49.414527893066406,0.235215812921524,1048576.0,6633.02858384506,817.5374670028687,5384576.0,2,sac,reacher
-64.78337097167969,19.04509687423706,0.7062413692474365,1000,1694041093.2059572,381.5834045410156,-103.9399871826172,4.117578029632568,1.4713811651745344e-05,855.1754331588745,181241.15291687808,-39.15660858154297,0.229466512799263,1048576.0,6724.902336965994,879.7459371089935,5798144.0,2,sac,reacher
-61.85969543457031,19.76300358772278,0.7179067134857178,1000,1694041154.0077684,338.1808166503906,-98.47517395019533,1.7600356340408323,1.4096323866397142e-05,915.2560720443726,178296.14571858503,-36.61548614501953,0.2338571399450302,1048576.0,6883.548638492007,940.5477483272552,6211712.0,2,sac,reacher
-56.05567932128906,20.548545360565186,0.7855417728424072,1000,1694041213.9195206,302.6370544433594,-90.68485260009766,0.9186027646064758,-2.4988525183289312e-05,974.3786647319794,162944.86738349297,-34.62916564941406,0.2427657842636108,1048576.0,6995.092420679506,1000.4595005512238,6625280.0,2,sac,reacher
-70.40115356445312,21.31613802909851,0.7675926685333252,1000,1694041273.9286838,279.6054382324219,-104.5230941772461,0.6509963870048523,3.78054210159462e-05,1033.6166167259216,166755.11016093407,-34.1219596862793,0.2446151971817016,1048576.0,6981.4702581597,1060.4686636924744,7038848.0,2,sac,reacher
-106.76380920410156,22.042219400405884,0.726081371307373,1000,1694041333.8363926,259.20703125,-151.6195068359375,2.1557610034942627,-3.359607944730669e-05,1092.7946407794952,176288.78120027346,-44.85569763183594,0.2383499890565872,1048576.0,6988.540199071173,1120.37637257576,7452416.0,2,sac,reacher
-140.54116821289062,22.793028354644772,0.7508089542388916,1000,1694041393.852463,422.7063903808594,-201.15969848632807,145.81483459472656,-0.0015095287235453,1152.0557334423063,170482.7829734075,-60.61849212646485,0.6628648638725281,1048576.0,6978.744086835418,1180.3924429416656,7865984.0,2,sac,reacher
