,generation,n_edges,phi,solver,environment,seed
0,1199,5,68.49999999999999,cgp,halfcheetah,104
1,599,5,68.49999999999999,cgp,halfcheetah,104
2,1899,5,68.49999999999999,cgp,halfcheetah,104
3,899,5,68.49999999999999,cgp,halfcheetah,104
4,1799,5,68.49999999999999,cgp,halfcheetah,104
5,1699,5,68.49999999999999,cgp,halfcheetah,104
6,999,5,68.49999999999999,cgp,halfcheetah,104
7,199,5,68.49999999999999,cgp,halfcheetah,104
8,1499,5,68.49999999999999,cgp,halfcheetah,104
9,1399,5,68.49999999999999,cgp,halfcheetah,104
10,799,5,68.49999999999999,cgp,halfcheetah,104
11,99,5,68.49999999999999,cgp,halfcheetah,104
12,1599,5,68.49999999999999,cgp,halfcheetah,104
13,1099,5,68.49999999999999,cgp,halfcheetah,104
14,2499,5,68.49999999999999,cgp,halfcheetah,104
15,1999,5,68.49999999999999,cgp,halfcheetah,104
16,399,5,68.49999999999999,cgp,halfcheetah,104
17,1299,5,68.49999999999999,cgp,halfcheetah,104
18,2099,5,68.49999999999999,cgp,halfcheetah,104
19,2199,5,68.49999999999999,cgp,halfcheetah,104
20,2299,5,68.49999999999999,cgp,halfcheetah,104
21,299,5,68.49999999999999,cgp,halfcheetah,104
22,2399,5,68.49999999999999,cgp,halfcheetah,104
23,699,5,68.49999999999999,cgp,halfcheetah,104
24,499,5,68.49999999999999,cgp,halfcheetah,104
25,699,20,39.699999999999996,cgp,halfcheetah,104
26,2299,20,39.699999999999996,cgp,halfcheetah,104
27,1599,20,39.699999999999996,cgp,halfcheetah,104
28,899,20,39.699999999999996,cgp,halfcheetah,104
29,2199,20,39.699999999999996,cgp,halfcheetah,104
30,1699,20,39.699999999999996,cgp,halfcheetah,104
31,2399,20,39.699999999999996,cgp,halfcheetah,104
32,1899,20,39.699999999999996,cgp,halfcheetah,104
33,299,20,39.699999999999996,cgp,halfcheetah,104
34,2099,20,39.699999999999996,cgp,halfcheetah,104
35,999,20,39.699999999999996,cgp,halfcheetah,104
36,199,20,39.699999999999996,cgp,halfcheetah,104
37,799,20,39.699999999999996,cgp,halfcheetah,104
38,1799,20,39.699999999999996,cgp,halfcheetah,104
39,1299,20,39.699999999999996,cgp,halfcheetah,104
40,1399,20,39.699999999999996,cgp,halfcheetah,104
41,499,20,39.699999999999996,cgp,halfcheetah,104
42,2499,20,39.699999999999996,cgp,halfcheetah,104
43,1999,20,39.699999999999996,cgp,halfcheetah,104
44,99,20,39.699999999999996,cgp,halfcheetah,104
45,1199,20,39.699999999999996,cgp,halfcheetah,104
46,399,20,39.699999999999996,cgp,halfcheetah,104
47,599,20,39.699999999999996,cgp,halfcheetah,104
48,1499,20,39.699999999999996,cgp,halfcheetah,104
49,1099,20,39.699999999999996,cgp,halfcheetah,104
50,2299,6,68.49999999999999,cgp,halfcheetah,104
51,999,6,68.49999999999999,cgp,halfcheetah,104
52,599,6,68.49999999999999,cgp,halfcheetah,104
53,1299,6,68.49999999999999,cgp,halfcheetah,104
54,499,6,68.49999999999999,cgp,halfcheetah,104
55,1999,6,68.49999999999999,cgp,halfcheetah,104
56,1399,6,68.49999999999999,cgp,halfcheetah,104
57,799,6,68.49999999999999,cgp,halfcheetah,104
58,99,6,68.49999999999999,cgp,halfcheetah,104
59,199,6,68.49999999999999,cgp,halfcheetah,104
60,2499,6,68.49999999999999,cgp,halfcheetah,104
