,generation,n_edges,phi,solver,environment,seed
0,1199,5,68.49999999999999,cgp,ant,105
1,599,5,68.49999999999999,cgp,ant,105
2,1899,5,68.49999999999999,cgp,ant,105
3,899,5,68.49999999999999,cgp,ant,105
4,1799,5,68.49999999999999,cgp,ant,105
5,1699,5,68.49999999999999,cgp,ant,105
6,999,5,68.49999999999999,cgp,ant,105
7,199,5,68.49999999999999,cgp,ant,105
8,1499,5,68.49999999999999,cgp,ant,105
9,1399,5,68.49999999999999,cgp,ant,105
10,799,5,68.49999999999999,cgp,ant,105
11,99,5,68.49999999999999,cgp,ant,105
12,1599,5,68.49999999999999,cgp,ant,105
13,1099,5,68.49999999999999,cgp,ant,105
14,2499,5,68.49999999999999,cgp,ant,105
15,1999,5,68.49999999999999,cgp,ant,105
16,399,5,68.49999999999999,cgp,ant,105
17,1299,5,68.49999999999999,cgp,ant,105
18,2099,5,68.49999999999999,cgp,ant,105
19,2199,5,68.49999999999999,cgp,ant,105
20,2299,5,68.49999999999999,cgp,ant,105
21,299,5,68.49999999999999,cgp,ant,105
22,2399,5,68.49999999999999,cgp,ant,105
23,699,5,68.49999999999999,cgp,ant,105
24,499,5,68.49999999999999,cgp,ant,105
25,699,20,39.699999999999996,cgp,ant,105
26,2299,20,39.699999999999996,cgp,ant,105
27,1599,20,39.699999999999996,cgp,ant,105
28,899,20,39.699999999999996,cgp,ant,105
29,2199,20,39.699999999999996,cgp,ant,105
30,1699,20,39.699999999999996,cgp,ant,105
31,2399,20,39.699999999999996,cgp,ant,105
32,1899,20,39.699999999999996,cgp,ant,105
33,299,20,39.699999999999996,cgp,ant,105
34,2099,20,39.699999999999996,cgp,ant,105
35,999,20,39.699999999999996,cgp,ant,105
36,199,20,39.699999999999996,cgp,ant,105
37,799,20,39.699999999999996,cgp,ant,105
38,1799,20,39.699999999999996,cgp,ant,105
39,1299,20,39.699999999999996,cgp,ant,105
40,1399,20,39.699999999999996,cgp,ant,105
41,499,20,39.699999999999996,cgp,ant,105
42,2499,20,39.699999999999996,cgp,ant,105
43,1999,20,39.699999999999996,cgp,ant,105
44,99,20,39.699999999999996,cgp,ant,105
45,1199,20,39.699999999999996,cgp,ant,105
46,399,20,39.699999999999996,cgp,ant,105
47,599,20,39.699999999999996,cgp,ant,105
48,1499,20,39.699999999999996,cgp,ant,105
49,1099,20,39.699999999999996,cgp,ant,105
50,2299,6,68.49999999999999,cgp,ant,105
51,999,6,68.49999999999999,cgp,ant,105
52,599,6,68.49999999999999,cgp,ant,105
53,1299,6,68.49999999999999,cgp,ant,105
54,499,6,68.49999999999999,cgp,ant,105
55,1999,6,68.49999999999999,cgp,ant,105
56,1399,6,68.49999999999999,cgp,ant,105
57,799,6,68.49999999999999,cgp,ant,105
58,99,6,68.49999999999999,cgp,ant,105
59,199,6,68.49999999999999,cgp,ant,105
60,2499,6,68.49999999999999,cgp,ant,105
61,1599,6,68.49999999999999,cgp,ant,105
62,2199,6,68.49999999999999,cgp,ant,105
63,2399,6,68.49999999999999,cgp,ant,105
64,1199,6,68.49999999999999,cgp,ant,105
65,2099,6,68.49999999999999,cgp,ant,105
66,1099,6,68.49999999999999,cgp,ant,105
67,1699,6,68.49999999999999,cgp,ant,105
68,1899,6,68.49999999999999,cgp,ant,105
69,399,6,68.49999999999999,cgp,ant,105
70,1499,6,68.49999999999999,cgp,ant,105
71,699,6,68.49999999999999,cgp,ant,105
72,1799,6,68.49999999999999,cgp,ant,105
73,899,6,68.49999999999999,cgp,ant,105
74,299,6,68.49999999999999,cgp,ant,105
75,899,4,53.099999999999994,cgp,ant,105
76,499,4,53.099999999999994,cgp,ant,105
77,2499,4,53.099999999999994,cgp,ant,105
78,1699,4,53.099999999999994,cgp,ant,105
79,1399,4,53.099999999999994,cgp,ant,105
80,199,4,53.099999999999994,cgp,ant,105
81,1599,4,53.099999999999994,cgp,ant,105
82,999,4,53.099999999999994,cgp,ant,105
83,799,4,53.099999999999994,cgp,ant,105
84,2199,4,53.099999999999994,cgp,ant,105
85,1499,4,53.099999999999994,cgp,ant,105
86,2399,4,53.099999999999994,cgp,ant,105
87,299,4,53.099999999999994,cgp,ant,105
88,399,4,53.099999999999994,cgp,ant,105
89,99,4,53.099999999999994,cgp,ant,105
90,1899,4,53.099999999999994,cgp,ant,105
91,699,4,53.099999999999994,cgp,ant,105
92,599,4,53.099999999999994,cgp,ant,105
93,1299,4,53.099999999999994,cgp,ant,105
94,1099,4,53.099999999999994,cgp,ant,105
95,2099,4,53.099999999999994,cgp,ant,105
96,2299,4,53.099999999999994,cgp,ant,105
97,1199,4,53.099999999999994,cgp,ant,105
98,1999,4,53.099999999999994,cgp,ant,105
99,1799,4,53.099999999999994,cgp,ant,105
100,1599,7,43.59999999999999,cgp,ant,105
