,generation,n_edges,phi,solver,environment,seed
0,1199,5,68.49999999999999,cgp,ant,107
1,599,5,68.49999999999999,cgp,ant,107
2,1899,5,68.49999999999999,cgp,ant,107
3,899,5,68.49999999999999,cgp,ant,107
4,1799,5,68.49999999999999,cgp,ant,107
5,1699,5,68.49999999999999,cgp,ant,107
6,999,5,68.49999999999999,cgp,ant,107
7,199,5,68.49999999999999,cgp,ant,107
8,1499,5,68.49999999999999,cgp,ant,107
9,1399,5,68.49999999999999,cgp,ant,107
10,799,5,68.49999999999999,cgp,ant,107
11,99,5,68.49999999999999,cgp,ant,107
12,1599,5,68.49999999999999,cgp,ant,107
13,1099,5,68.49999999999999,cgp,ant,107
14,2499,5,68.49999999999999,cgp,ant,107
15,1999,5,68.49999999999999,cgp,ant,107
16,399,5,68.49999999999999,cgp,ant,107
17,1299,5,68.49999999999999,cgp,ant,107
18,2099,5,68.49999999999999,cgp,ant,107
19,2199,5,68.49999999999999,cgp,ant,107
20,2299,5,68.49999999999999,cgp,ant,107
21,299,5,68.49999999999999,cgp,ant,107
22,2399,5,68.49999999999999,cgp,ant,107
23,699,5,68.49999999999999,cgp,ant,107
24,499,5,68.49999999999999,cgp,ant,107
25,699,20,39.699999999999996,cgp,ant,107
26,2299,20,39.699999999999996,cgp,ant,107
27,1599,20,39.699999999999996,cgp,ant,107
28,899,20,39.699999999999996,cgp,ant,107
29,2199,20,39.699999999999996,cgp,ant,107
30,1699,20,39.699999999999996,cgp,ant,107
31,2399,20,39.699999999999996,cgp,ant,107
32,1899,20,39.699999999999996,cgp,ant,107
33,299,20,39.699999999999996,cgp,ant,107
34,2099,20,39.699999999999996,cgp,ant,107
35,999,20,39.699999999999996,cgp,ant,107
36,199,20,39.699999999999996,cgp,ant,107
37,799,20,39.699999999999996,cgp,ant,107
38,1799,20,39.699999999999996,cgp,ant,107
39,1299,20,39.699999999999996,cgp,ant,107
40,1399,20,39.699999999999996,cgp,ant,107
41,499,20,39.699999999999996,cgp,ant,107
42,2499,20,39.699999999999996,cgp,ant,107
43,1999,20,39.699999999999996,cgp,ant,107
44,99,20,39.699999999999996,cgp,ant,107
45,1199,20,39.699999999999996,cgp,ant,107
46,399,20,39.699999999999996,cgp,ant,107
47,599,20,39.699999999999996,cgp,ant,107
48,1499,20,39.699999999999996,cgp,ant,107
49,1099,20,39.699999999999996,cgp,ant,107
50,2299,6,68.49999999999999,cgp,ant,107
51,999,6,68.49999999999999,cgp,ant,107
52,599,6,68.49999999999999,cgp,ant,107
53,1299,6,68.49999999999999,cgp,ant,107
54,499,6,68.49999999999999,cgp,ant,107
55,1999,6,68.49999999999999,cgp,ant,107
56,1399,6,68.49999999999999,cgp,ant,107
57,799,6,68.49999999999999,cgp,ant,107
58,99,6,68.49999999999999,cgp,ant,107
59,199,6,68.49999999999999,cgp,ant,107
60,2499,6,68.49999999999999,cgp,ant,107
61,1599,6,68.49999999999999,cgp,ant,107
