,generation,n_edges,phi,n_single_arity,n_double_arity,n_inputs,solver,environment,seed
0,1199,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
1,599,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
2,1899,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
3,899,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
4,1799,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
5,1699,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
6,999,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
7,199,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
8,1499,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
9,1399,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
10,799,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
11,99,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
12,1599,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
13,1099,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
14,2499,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
15,1999,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
16,399,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
17,1299,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
18,2099,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
19,2199,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
20,2299,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
21,299,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
22,2399,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
23,699,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
24,499,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
25,699,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
26,2299,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
27,1599,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
28,899,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
29,2199,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
30,1699,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
31,2399,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
32,1899,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
33,299,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
34,2099,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
35,999,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
36,199,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
37,799,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
38,1799,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
39,1299,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
40,1399,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
41,499,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
42,2499,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
43,1999,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
44,99,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
45,1199,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
46,399,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
47,599,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
48,1499,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
49,1099,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,102
50,2299,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
51,999,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
52,599,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
53,1299,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
54,499,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
55,1999,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
56,1399,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
57,799,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
58,99,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
59,199,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
60,2499,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
61,1599,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
62,2199,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
63,2399,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
64,1199,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
65,2099,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
66,1099,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
67,1699,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
68,1899,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
69,399,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
70,1499,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
71,699,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
72,1799,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
73,899,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
74,299,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,102
75,899,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
76,499,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
77,2499,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
78,1699,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
79,1399,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
80,199,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
81,1599,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
82,999,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
83,799,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
84,2199,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
85,1499,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
86,2399,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
87,299,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
88,399,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
89,99,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
90,1899,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
91,699,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
92,599,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
93,1299,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
94,1099,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
95,2099,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
96,2299,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
97,1199,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
98,1999,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
99,1799,4,53.099999999999994,3,0,1,cgp,inverted_double_pendulum,102
100,1599,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
101,799,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
102,1699,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
103,699,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
104,2499,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
105,1499,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
106,199,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
107,99,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
108,2199,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
109,399,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
110,1399,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
111,1199,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
112,1899,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
113,1099,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
114,1999,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
115,2099,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
116,599,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
117,1799,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
118,999,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
119,2399,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
120,2299,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
121,899,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
122,499,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
123,299,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
124,1299,7,43.4,4,1,2,cgp,inverted_double_pendulum,102
125,399,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
126,1999,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
127,899,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
128,299,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
129,1899,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
130,99,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
131,1199,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
132,599,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
133,1699,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
134,499,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
135,2499,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
136,1299,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
137,2299,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
138,2199,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
139,699,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
140,1099,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
141,1599,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
142,999,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
143,2099,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
144,199,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
145,799,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
146,2399,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
147,1799,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
148,1399,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
149,1499,6,51.999999999999986,3,1,2,cgp,inverted_double_pendulum,102
150,999,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
151,1599,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
152,199,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
153,799,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
154,1899,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
155,2199,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
156,2299,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
157,1499,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
158,99,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
159,299,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
160,1699,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
161,1299,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
162,399,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
163,2099,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
164,599,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
165,899,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
166,1799,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
167,1999,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
168,499,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
169,2499,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
170,1099,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
171,699,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
172,1199,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
173,2399,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
174,1399,3,61.7,2,0,1,cgp,inverted_double_pendulum,102
175,1799,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
176,2499,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
177,1499,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
178,2399,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
179,1999,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
180,2199,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
181,799,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
182,399,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
183,1199,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
184,1399,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
185,299,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
186,499,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
187,1099,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
188,599,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
189,1299,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
190,1599,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
191,899,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
192,999,6,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,102
