,generation,n_edges,phi,n_single_arity,n_double_arity,n_inputs,solver,environment,seed
0,1199,5,68.49999999999999,1,2,2,lgp,swimmer,107
1,599,5,68.49999999999999,1,2,2,lgp,swimmer,107
2,1899,5,68.49999999999999,1,2,2,lgp,swimmer,107
3,899,5,68.49999999999999,1,2,2,lgp,swimmer,107
4,1799,5,68.49999999999999,1,2,2,lgp,swimmer,107
5,1699,5,68.49999999999999,1,2,2,lgp,swimmer,107
6,999,5,68.49999999999999,1,2,2,lgp,swimmer,107
7,199,5,68.49999999999999,1,2,2,lgp,swimmer,107
8,1499,5,68.49999999999999,1,2,2,lgp,swimmer,107
9,1399,5,68.49999999999999,1,2,2,lgp,swimmer,107
10,799,5,68.49999999999999,1,2,2,lgp,swimmer,107
11,99,5,68.49999999999999,1,2,2,lgp,swimmer,107
12,1599,5,68.49999999999999,1,2,2,lgp,swimmer,107
13,1099,5,68.49999999999999,1,2,2,lgp,swimmer,107
14,2499,5,68.49999999999999,1,2,2,lgp,swimmer,107
15,1999,5,68.49999999999999,1,2,2,lgp,swimmer,107
16,399,5,68.49999999999999,1,2,2,lgp,swimmer,107
17,1299,5,68.49999999999999,1,2,2,lgp,swimmer,107
18,2099,5,68.49999999999999,1,2,2,lgp,swimmer,107
19,2199,5,68.49999999999999,1,2,2,lgp,swimmer,107
20,2299,5,68.49999999999999,1,2,2,lgp,swimmer,107
21,299,5,68.49999999999999,1,2,2,lgp,swimmer,107
22,2399,5,68.49999999999999,1,2,2,lgp,swimmer,107
23,699,5,68.49999999999999,1,2,2,lgp,swimmer,107
24,499,5,68.49999999999999,1,2,2,lgp,swimmer,107
25,699,20,39.29999999999999,5,7,4,lgp,swimmer,107
26,2299,20,39.29999999999999,5,7,4,lgp,swimmer,107
27,1599,20,39.29999999999999,5,7,4,lgp,swimmer,107
28,899,20,39.29999999999999,5,7,4,lgp,swimmer,107
29,2199,20,39.29999999999999,5,7,4,lgp,swimmer,107
30,1699,20,39.29999999999999,5,7,4,lgp,swimmer,107
31,2399,20,39.29999999999999,5,7,4,lgp,swimmer,107
32,1899,20,39.29999999999999,5,7,4,lgp,swimmer,107
33,299,20,39.29999999999999,5,7,4,lgp,swimmer,107
34,2099,20,39.29999999999999,5,7,4,lgp,swimmer,107
35,999,20,39.29999999999999,5,7,4,lgp,swimmer,107
36,199,20,39.29999999999999,5,7,4,lgp,swimmer,107
37,799,20,39.29999999999999,5,7,4,lgp,swimmer,107
38,1799,20,39.29999999999999,5,7,4,lgp,swimmer,107
39,1299,20,39.29999999999999,5,7,4,lgp,swimmer,107
40,1399,20,39.29999999999999,5,7,4,lgp,swimmer,107
41,499,20,39.29999999999999,5,7,4,lgp,swimmer,107
42,2499,20,39.29999999999999,5,7,4,lgp,swimmer,107
43,1999,20,39.29999999999999,5,7,4,lgp,swimmer,107
44,99,20,39.29999999999999,5,7,4,lgp,swimmer,107
45,1199,20,39.29999999999999,5,7,4,lgp,swimmer,107
46,399,20,39.29999999999999,5,7,4,lgp,swimmer,107
47,599,20,39.29999999999999,5,7,4,lgp,swimmer,107
48,1499,20,39.29999999999999,5,7,4,lgp,swimmer,107
49,1099,20,39.29999999999999,5,7,4,lgp,swimmer,107
50,2299,6,68.29999999999998,1,2,3,lgp,swimmer,107
51,999,6,68.29999999999998,1,2,3,lgp,swimmer,107
52,599,6,68.29999999999998,1,2,3,lgp,swimmer,107
53,1299,6,68.29999999999998,1,2,3,lgp,swimmer,107
54,499,6,68.29999999999998,1,2,3,lgp,swimmer,107
55,1999,6,68.29999999999998,1,2,3,lgp,swimmer,107
56,1399,6,68.29999999999998,1,2,3,lgp,swimmer,107
57,799,6,68.29999999999998,1,2,3,lgp,swimmer,107
58,99,6,68.29999999999998,1,2,3,lgp,swimmer,107
59,199,6,68.29999999999998,1,2,3,lgp,swimmer,107
60,2499,6,68.29999999999998,1,2,3,lgp,swimmer,107
61,1599,6,68.29999999999998,1,2,3,lgp,swimmer,107
62,2199,6,68.29999999999998,1,2,3,lgp,swimmer,107
63,2399,6,68.29999999999998,1,2,3,lgp,swimmer,107
64,1199,6,68.29999999999998,1,2,3,lgp,swimmer,107
65,2099,6,68.29999999999998,1,2,3,lgp,swimmer,107
66,1099,6,68.29999999999998,1,2,3,lgp,swimmer,107
67,1699,6,68.29999999999998,1,2,3,lgp,swimmer,107
68,1899,6,68.29999999999998,1,2,3,lgp,swimmer,107
69,399,6,68.29999999999998,1,2,3,lgp,swimmer,107
70,1499,6,68.29999999999998,1,2,3,lgp,swimmer,107
71,699,6,68.29999999999998,1,2,3,lgp,swimmer,107
72,1799,6,68.29999999999998,1,2,3,lgp,swimmer,107
73,899,6,68.29999999999998,1,2,3,lgp,swimmer,107
74,299,6,68.29999999999998,1,2,3,lgp,swimmer,107
75,899,4,53.099999999999994,3,0,1,lgp,swimmer,107
76,499,4,53.099999999999994,3,0,1,lgp,swimmer,107
77,2499,4,53.099999999999994,3,0,1,lgp,swimmer,107
