,seed,generation,evaluation,graph_size,max_size,solver,ea,fitness,environment
0,3,699,699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699699,19,67,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d
1,3,99,99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,28,67,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d
2,3,799,799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799799,20,67,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d
3,3,599,599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599599,19,67,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d
4,3,199,199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199199,26,67,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d
5,3,299,299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299299,26,67,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d
6,3,499,499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499499,32,67,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d
7,3,899,899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899899,18,67,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d
8,3,999,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,18,67,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d
9,3,399,399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399399,26,67,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d
